player_name,league_name,player game win %,player true games total,Z-Goals per average per game,Z-Assists per average per game,Z-Shots per average per game,Z-Saves per average per game,Z-Nonstandard points per average per game
Messiah,Premier,48.1%,52,0.5277896326416206,-0.25499948010887313,0.5122783728237166,0.05260508291891336,-0.2521926690093447
Oakwynn,RisingStar,33.3%,12,0.2724772792218604,-2.0624587286689726,-0.2351197343664908,-0.5656736055532976,-0.25410307541177773
BubblyReaper,Premier,48.3%,60,-0.6004718070718443,0.15390503946058273,-0.2806278956381912,-0.5539139093384832,-0.26329984078618235
V15 ehf,Challenger,56.3%,48,0.07216800622599476,0.619367110795968,0.7888504922053183,0.6396274381067842,-0.263398712956058
Bacaw,Challenger,44.4%,9,-0.09333874336095285,0.7378817702363224,-0.0006458768340345592,-0.5627519742436025,-0.26389674724168793
ctnivlac,RisingStar,55.2%,58,0.5131642912456871,0.005768706823012722,1.1767937651071363,0.012320221820890402,-0.2656670636481461
Fiddlesticks,Prospect,18.2%,22,-0.5157831601045834,-0.8966978455090605,-0.8817679186997602,0.5849663475886409,-0.2776314472334609
Goosy,RisingStar,41.5%,41,0.48368812521114407,0.6049652277471553,-0.04526828299182221,-0.7575521465158167,-0.2894392558889369
Luca.,Prospect,65.5%,29,0.3579065855343356,0.13990699513561436,0.3685732600245645,0.1223280655419788,-0.2953052927305296
Jakeyy,Prospect,54.3%,35,-0.28679170859099534,0.27216180025503883,-0.4798638064365978,-0.3579506494013008,-0.2975739699384757
torvamia,RisingStar,33.3%,24,-0.5714311584725374,0.3303621298367042,-0.1277312150488038,-0.23091132625879981,-0.3178123351680567
Midas,Premier,54.1%,37,-0.18411560951245784,1.0869102087135336,-0.46158720512360896,1.0453583751224615,-0.3231399160856159
SlayPanther,RisingStar,45.0%,60,-0.08041157387157949,-0.004502832366553814,-0.47457468663015123,0.016031208124373298,-0.33204923109811196
Bam,Prospect,60.5%,43,0.6755211665819715,-0.787696588690678,0.698506033985818,-0.17494883012476914,-0.4030976175716841
kdn,Premier,53.6%,69,0.5248660716485236,1.0813901469956348,0.7407198591779037,0.36169749560540787,-0.4174622891772434
Ryu Protex,Challenger,55.0%,40,0.6578869609325143,0.03424191260188631,0.04335640185615838,-0.1421031120264227,-0.4238416443208436
Bacaw,RisingStar,43.8%,64,-0.01665663441392792,-0.11316636730438229,-0.06038572651647978,0.09942466739004092,-0.436370128055181
